k_over_T,E_over_T,Gamma_LPM_occ_over_T,Gamma_hard_occ_over_T,Gamma_total_occ_over_T,ImPiR_onshell_over_T2
3.746431556813841,3.7719722175395964,0.000504056901360701,0.0014147765588162172,0.0019188334601769183,-0.007237786501872707
3.9680404909697025,3.9921636161328706,0.0004895399957120846,0.0013734163364041625,0.001862956332116247,-0.007437226487518826
4.202758037668716,4.225541400008879,0.0004753516284454956,0.001331158141116454,0.0018065097695619497,-0.007633481820804519
4.451359597611491,4.4728768446323155,0.00046164590113443276,0.0012877470200017855,0.0017493929211362183,-0.007824819089113878
4.714666438003927,4.734987288434958,0.0004487165287792097,0.001243979532457631,0.0016926960612368407,-0.008014894333140362
4.993548405652903,5.0127388401550155,0.0004363596218931392,0.0012008481830546277,0.0016372078049477668,-0.008206895153266607
5.288926800547052,5.307049246195561,0.00042449184420260847,0.001157763472887006,0.0015822553170896144,-0.008397106887849356
5.601777419415534,5.618890927636321,0.00041333132497717805,0.001115110738307226,0.001528442063284404,-0.008588149242806478
5.933133779319464,5.949294197070915,0.0004029178991214112,0.0010737670829693378,0.001476684982090749,-0.008785233394854262
6.284090531925229,6.299350666015689,0.00039297424783141396,0.0010334328950325291,0.001426407142863943,-0.008985438785409517
6.655807079738867,6.670216854248595,0.0003836143772913457,0.0009938594099206007,0.0013774737872119464,-0.009188048871746768
7.04951140624801,7.063118013088894,0.0003749412839370065,0.000954911136457874,0.0013298524203948804,-0.009392904585240945
7.466504132624363,7.479352175322184,0.00036673549322081757,0.000915866706744388,0.0012826021999652057,-0.00959303355438278
7.908162814388309,7.920294445213133,0.0003589846606727433,0.0008775700354820826,0.001236554696154826,-0.009793877291157282
8.375946492229756,8.387401542831723,0.0003517433402903629,0.0008417069260078282,0.001193450266298191,-0.010009946604842378
8.871400512019232,8.882216617751173,0.00034492510575194946,0.0008082821270694312,0.0011532072328213805,-0.01024303644707691
9.396161629932287,9.406374348058437,0.00033844658717935365,0.000776311651811994,0.0011147582389913477,-0.01048583330353501
9.951963419552168,9.961606341554784,0.00033231646120643067,0.0007449351886800537,0.0010772516498864845,-0.010731156866959558
10.540641998813534,10.549746857017555,0.0003265041613616796,0.0007135509644323191,0.0010400551257939987,-0.010972318294470235
11.164142095706307,11.172738864446874,0.0003209375473544622,0.0006826857689581897,0.0010036233163126518,-0.011213221231431423
11.824523472778143,11.832640464337674,0.00031560751533401274,0.0006531592315255449,0.0009687667468595576,-0.011463068609395173
12.523967731658963,12.531631687199994,0.00031048985852576914,0.0006248740833349291,0.0009353639418606982,-0.011721636412885818
13.264785520086868,13.272021695804533,0.0003055403687550114,0.0005975326972992249,0.0009030730660542363,-0.011985605325568544
14.049424165244071,14.056256413958307,0.0003007479119067574,0.0005715582169025626,0.00087230612880932,-0.012261358618011146
14.880475758619838,14.886926607022438,0.00029609738293548003,0.0005467374254585926,0.0008428348083940726,-0.012547219934406379
15.760685719109377,15.766776440875232,0.0002915583523862669,0.0005228604447024502,0.0008144187970887171,-0.01284075910294433
16.692961862637212,16.698712547602597,0.000287118871929539,0.0005005332701870799,0.0007876521421166188,-0.013152776708708847
17.680384008266806,17.68581362787069,0.0002827732457937123,0.0004795789564789606,0.0007623522022726729,-0.01348281896819127
18.726214152530964,18.731340621708075,0.00027849016162929404,0.0004596071024903599,0.0007380972641196539,-0.013825551266176067
19.833907245594187,19.838747481301173,0.0002742226385265529,0.00044166171322000875,0.0007158843517465616,-0.014202248880115023
21.00712260484673,21.011692581395305,0.0002700493944129366,0.00042711177070247215,0.0006971611651154087,-0.014648536081092341
22.249736003635427,22.25405080499886,0.00026608714245989547,0.0004177208948205816,0.000683808037280477,-0.015217498802506292
23.565852475067324,23.569926344319295,0.00026248600171984896,0.00041573928211056596,0.0006782252838304149,-0.015985719984737926
24.959819873184006,24.963666259221444,0.0002594371407341053,0.00042401515629909256,0.0006834522970331979,-0.017061475047235035
26.43624323630633,26.43987483800088,0.00025718202262993705,0.00044612967485708896,0.000703311697487026,-0.018595473253658904
28.0,28.003428807915647,0.00025602357280315584,0.00048656001146369564,0.0007425835842668515,-0.020794886535943604
