N,f_over_Mpl,f_GeV,epsilon,d_g,eta_peak,M_GeV,TR_GeV,m_eV,Omega_h2,slope
8,4.237612633868268e-06,10318586763469.234,1.4949110862642193e-10,1e-06,1.8874777519275256,257900180.43651104,25790018043.651104,7.5e-29,2.3267616122818146e-13,0.3826834323650898
6,3.366055362905897e-06,8196344808675.859,9.088349479845924e-11,1e-06,1.8186599268275738,2976.0121736606407,297601.2173660641,7.5e-29,2.609933027775625e-13,0.49999999999999994
8,4.7546795773833446e-06,11577644770928.443,1.677317826329048e-10,1e-06,1.6822163171119822,216995958.84869966,21699595884.869965,7.5e-29,2.9292193208887416e-13,0.3826834323650898
6,3.7767762353825077e-06,9196450133156.406,1.0197295835532772e-10,1e-06,1.6208823659313245,2652.3736416724946,265237.36416724947,7.5e-29,3.2857110117476223e-13,0.49999999999999994
8,5.33483823011677e-06,12990331090334.336,1.8819815548708464e-10,1e-06,1.4992768707699484,182579345.53193673,18257934553.193672,7.5e-29,3.687668639785286e-13,0.3826834323650898
6,4.237612633868268e-06,10318586763469.234,1.1441554111444328e-10,1e-06,1.4446129292407384,2363.93049642183,236393.049642183,7.5e-29,4.1364650885010035e-13,0.49999999999999994
8,5.985786944906651e-06,14575391210847.695,2.1116180352209964e-10,1e-06,1.3362319175959407,153621374.29533055,15362137429.533056,7.5e-29,4.642499760902143e-13,0.3826834323650898
6,4.7546795773833446e-06,11577644770928.443,1.2837634858935033e-10,1e-06,1.2875126284259473,2106.8552726189278,210685.52726189277,7.5e-29,5.207501014913318e-13,0.49999999999999994
8,6.71616341570503e-06,16353857917241.748,2.3692744039548105e-10,1e-06,1.1909179501216367,129256277.98494925,12925627798.494925,7.5e-29,5.844560923248049e-13,0.3826834323650898
8,7.535659294528749e-06,18349330382177.504,2.6583696045425806e-10,1e-06,1.0614067402862257,108755604.32367718,10875560432.367718,7.5e-29,7.357866267056141e-13,0.3826834323650898
8,8.455148793793368e-06,20588287312886.85,2.9827397546521875e-10,1e-06,0.9459797530215802,91506437.10462917,9150643710.462917,7.5e-29,9.263004820180058e-13,0.3826834323650898
8,9.486832980505141e-06,23100438307530.02,3.346689049099863e-10,1e-06,0.8431053423360126,76993071.60909669,7699307160.909669,7.5e-29,1.1661432157696525e-12,0.3826834323650898
8,1.0644401677007285e-05,25919118083512.74,3.7550468739003424e-10,1e-06,0.7514184273025427,64781596.392234385,6478159639.223438,7.5e-29,1.4680873281237887e-12,0.3826834323650898
8,1.1943215116604936e-05,29081728808933.02,4.21323188928508e-10,1e-06,0.6697023782643753,54506920.47244594,5450692047.244595,7.5e-29,1.8482124441080378e-12,0.3826834323650898
8,1.340050776452891e-05,32630236406627.895,4.727323932031385e-10,1e-06,0.5968728728985251,45861858.07155707,4586185807.155706,7.5e-29,2.3267616122818143e-12,0.3826834323650898
8,1.503561700881818e-05,36611727416472.27,5.304144691202532e-10,1e-06,0.5319635079173943,38587944.56822962,3858794456.8229623,7.5e-29,2.9292193208887422e-12,0.3826834323650898
8,1.687023975571048e-05,41079033805155.016,5.951348227817029e-10,1e-06,0.47411297548429626,32467709.085782506,3246770908.5782504,7.5e-29,3.687668639785287e-12,0.3826834323650898
8,1.8928720334405835e-05,46091434014278.21,6.677522539588003e-10,1e-06,0.42255363418175984,27318172.685126897,2731817268.5126896,7.5e-29,4.6424997609021435e-12,0.3826834323650898
8,2.123837353152417e-05,51715439549261.36,7.492303518435049e-10,1e-06,0.37660132287631715,22985377.77589026,2298537777.589026,7.5e-29,5.844560923248049e-12,0.3826834323650898
10,2.673752814401239e-05,65105881030670.164,1.1680801914285616e-09,1e-06,0.3704581364410188,540924110942.2949,54092411094229.49,7.5e-29,5.928323084915237e-12,0.3090169943749474
8,2.3829847041728474e-05,58025677546608.836,8.406502812915653e-10,1e-06,0.3356462823159274,19339785.189513512,1933978518.9513512,7.5e-29,7.357866267056143e-12,0.3826834323650898
10,3e-05,73050000000000.0,1.3106075308874151e-09,1e-06,0.33017116164233734,429671294164.5952,42967129416459.52,7.5e-29,7.463316580925772e-12,0.3090169943749474
8,2.673752814401239e-05,65105881030670.164,9.432251292232725e-10,1e-06,0.29914506399517454,16272401.298918376,1627240129.8918376,7.5e-29,9.26300482018006e-12,0.3826834323650898
8,3e-05,73050000000000.0,1.058316001549865e-09,1e-06,0.26661331892377876,13691519.395810902,1369151939.5810902,7.5e-29,1.1661432157696516e-11,0.3826834323650898
